eval_reward_pickscore,approx_kl,eval_reward_avg,epoch,reward_pickscore,reward_std_mean,reward_ori_avg,kl_loss,reward_avg,inner_epoch,_step,group_size,_runtime,actual_batch_size,loss,trained_prompt_num,_timestamp,clipfrac_lt_one,clipfrac_gt_one,policy_loss,eval_images.format,eval_images.count,eval_images.filenames,eval_images.captions,eval_images._type,eval_images.width,eval_images.height,images.height,images.format,images.count,images.filenames,images.captions,images._type,images.width,zero_std_ratio,clipfrac
0.8347249627113342,0,0.8347249627113342,0,0.8184367418289185,0.020565446466207504,0.8184367418289185,0,0.8184367418289185,0,0,25.6,1346.686090982,8,0.016886832531174317,10,1781434037.3466744,0,0,0.016886832531174317,jpg,15,"['media/images/eval_images_0_b9e1fc8499c4d5607de4.jpg', 'media/images/eval_images_0_0c833ce75e6db02b6156.jpg', 'media/images/eval_images_0_842ac0be63be0eeffd08.jpg', 'media/images/eval_images_0_633540f00ca5bd628421.jpg', 'media/images/eval_images_0_ef0409358b8dbd2ba222.jpg', 'media/images/eval_images_0_7988a1f20c6db83d1cd6.jpg', 'media/images/eval_images_0_a47bd6c34ced458a72fa.jpg', 'media/images/eval_images_0_71c8d4dcfc5583fa4c7f.jpg', 'media/images/eval_images_0_c2e55d1bbeb5b1841d2e.jpg', 'media/images/eval_images_0_0e4006b53b953ec12b67.jpg', 'media/images/eval_images_0_16dca3b97ac4df87cdae.jpg', 'media/images/eval_images_0_a3a7de1bc96e06c8b9bc.jpg', 'media/images/eval_images_0_d6ba2ac95fa1be3f0921.jpg', 'media/images/eval_images_0_3ced5d4637cab1d1253b.jpg', 'media/images/eval_images_0_28bcc542f3c680521168.jpg']","['a man in a union jack outfit with cape, white lionhead emblem, photography by nels israelson and michael miller, superhero movie directed by richard donner, cinematic, reimagined by industrial light and magic | pickscore: 0.84 | avg: 0.84', 'young muscle guy cannibal eat testicles flesh cannibalism. highly detailed guro art by ilya repin | pickscore: 0.77 | avg: 0.77', 'photo of traction engine in jungle river | pickscore: 0.87 | avg: 0.87', 'overgrown giant fantasy forest, high quality, realistic, night, blue fireflies | pickscore: 0.82 | avg: 0.82', 'attributed nikolkovsky attribuprisoners sleep ⬇ pover, christian krohg, melancholia | pickscore: 0.77 | avg: 0.77', 'a shiny photograph of a large - scale installation in a surreal swimming pool with oversized flowers and women made of glass, metal, plastic, iridescent gum and jelly. the flowers have different shapes and colors, some resembling real species and others being completely abstract. the garden is populated by female mannequins dressed in colorful outfits that contrast or complement the flowers. some mannequins are standing, some are sitting, some are lying down, and some are suspended from the ceiling. the mannequins have different expressions and poses, some looking at the flowers, some looking at each other, some looking at the viewers, octane render, crisp, eastman kodak color negative film shot on panavision super ps. | pickscore: 0.85 | avg: 0.85', 'a 3 0 0 x 3 0 0 px pacture of a anime glowing orange rock. | pickscore: 0.83 | avg: 0.83', 'photo of head emerging out of river water surface, frederick doris royo fdr gren old gossisunlight, jules bastien - lepage | pickscore: 0.79 | avg: 0.79', 'a - team gmc 1 9 8 2 van, black, red, grey, red alloy wheels | pickscore: 0.83 | avg: 0.83', 'anime portrait of eleven - e - w - 1 in a post apocalyptic abandoned gas station with gas station, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, unreal engine 5, 8 | pickscore: 0.78 | avg: 0.78', 'master jedi portrait, exquisitely detailed, clothing and lightsaber rendered in great detail, illuminated by a soft blue light, standout feature is the intricately detailed lightsaber, rendered in beautiful metallic colors, high resolution, photorealistic, 3 d, pbr, path tracing, volumetric lighting, unreal engine 4 | pickscore: 0.79 | avg: 0.79', 'antique, warm hues, dark haired, massive, fat pixar portly bishop in red and gold silk gown :: 8 k, hd, octane render, magical energy, sharp overhead cinematic lighting, beautiful digital fantastical illustration, highly detailed, rendered in octane, very very very aesthetic, exquisite marble detail | pickscore: 0.79 | avg: 0.79', 'a side view of a fox, with a flat design, artwork of t - shirt graphic. | pickscore: 0.86 | avg: 0.86', '1 9 6 0 small batman surf mansion architect drawing, big sur, bat shape, cliffs and waves, nest, batsign, faded colour, rotring pencil artist impression, by frank lloyd wright and pritzker prize | pickscore: 0.73 | avg: 0.73', 'vintage photo of girls in model school | pickscore: 0.80 | avg: 0.80']",images/separated,512,512,512,jpg,8,"['media/images/images_0_66c6adb6c53926a1af24.jpg', 'media/images/images_0_3f3e1e7b4913205af4b2.jpg', 'media/images/images_0_5e5467d9372b6689806b.jpg', 'media/images/images_0_e4cb8b4a968e6d9ccc94.jpg', 'media/images/images_0_422facba827fab940581.jpg', 'media/images/images_0_836d4f29e9108e5869c9.jpg', 'media/images/images_0_0a2593f8ffb66cdfa926.jpg', 'media/images/images_0_5a59f5eecb60d35c7c23.jpg']","['Evil witch with black cat, night sky with moon, dark forest | avg: 0.82', ""Aerial view of Santa's hidden snow-top workshop at the northpole, with steaming chimney and sparklin | avg: 0.81"", ""Aerial view of Santa's hidden snow-top workshop at the northpole, with steaming chimney and sparklin | avg: 0.82"", 'Evil witch with black cat, night sky with moon, dark forest | avg: 0.85', 'Evil witch with black cat, night sky with moon, dark forest | avg: 0.81', ""Aerial view of Santa's hidden snow-top workshop at the northpole, with steaming chimney and sparklin | avg: 0.79"", ""Aerial view of Santa's hidden snow-top workshop at the northpole, with steaming chimney and sparklin | avg: 0.82"", ""Aerial view of Santa's hidden snow-top workshop at the northpole, with steaming chimney and sparklin | avg: 0.80""]",images/separated,512,0,0
,9.212386066792533e-05,,0,,,,0.0006836465909145772,,0,1,,1384.962737142,,-0.016416233175475373,,1781434087.129511,0.5026041865348816,0,-0.016423069640852238,,,,,,,,,,,,,,,,0.5026041865348816
,0,,1,0.8084546327590942,0.020813044160604477,0.8084546327590942,0.00031824730103835464,0.8084546327590942,0,2,16,1484.73325489,8,0.003608678736147959,26,1781434175.4003727,0,0,0.0036054962633480687,,,,,,,,,,,,,,,0,0
,1.6649976259941468e-06,,1,,,,0.0004639827529899776,,0,3,,1523.024907128,,-0.003499314456858498,,1781434225.1761062,0.456597238779068,0,-0.0035039542842714216,,,,,,,,,,,,,,,,0.456597238779068
,0,,2,0.805214524269104,0.01829206570982933,0.805214524269104,0.00042470108019188046,0.8052145838737488,0,4,16,1622.673045726,8,-0.005401145827052747,42,1781434313.3811634,0,0,-0.005405392837712708,,,,,,,,,,,,,,,0,0
,1.9428591713221977e-07,,2,,,,0.0004655066004488617,,0,5,,1660.972075817,,0.005444199690118302,,1781434363.116256,0.2725694477558136,0,0.005439544624410172,,,,,,,,,,,,,,,,0.2725694477558136
,0,,3,0.7944297790527344,0.020479848608374596,0.7944297790527344,0.0005046905134804547,0.7944297790527344,0,6,16,1760.863416266,8,-0.029469338799062134,58,1781434451.460035,0,0,-0.029474385703874707,,,,,,,,,,,,,,,0,0
,2.2582275960303377e-07,,3,,,,0.000528699136339128,,0,7,,1799.204103205,,0.02949866902903138,,1781434501.3061252,0.2838541865348816,0,0.029493382038084257,,,,,,,,,,,,,,,,0.2838541865348816
,0,,4,0.7947832345962524,0.022242046892642975,0.7947832345962524,0.0005196026177145541,0.7947832942008972,0,8,16,1899.219097733,8,-0.007114875065544315,74,1781434589.7637022,0,0,-0.00712007109180363,,,,,,,,,,,,,,,0,0
,3.507082979581355e-08,,4,,,,0.0005572947557084262,,0,9,,1937.587569623,,0.00714022441056107,,1781434639.6619935,0.1770833432674408,0,0.00713465146324662,,,,,,,,,,,,,,,,0.1770833432674408
